title,date,date_transformed,employer,location,salary,salary_copy,working_hours,day_of_week,month,min_salary,max_salary
Digital Data Analyst,4 April,2024-04-04,Rocking Zebra,Wiltshire,"£30,000 - £40,000 per annum",30000 - 40000 per annum,"Permanent, full-time",Thursday,April,30000,40000
Geospatial Data Analyst,20 April,2024-04-20,Harnham - Data & Analytics Recruitment,London,"£55,000 - £70,000 per annum",55000 - 70000 per annum,"Permanent, full-time",Saturday,April,55000,70000
CAD Data Analyst,3 April,2024-04-03,INTEC SELECT LIMITED,City of London,"£35,000 - £42,350 per annum, inc benefits",35000 - 42350 per annum inc benefits,"Permanent, full-time",Wednesday,April,35000,42350
Data Analyst Finance,16 April,2024-04-16,Harnham - Data & Analytics Recruitment,London,"£45,000 - £60,000 per annum",45000 - 60000 per annum,"Permanent, full-time",Tuesday,April,45000,60000
Senior Data Analyst,17 April,2024-04-17,IRIS- Networx Services,Burton-on-Trent,"£50,000 per annum",50000 per annum,"Permanent, full-time",Wednesday,April,50000,0
Data Analyst - GA4,3 days ago,2024-04-24,Rocking Zebra,Wiltshire,"£40,000 - £45,000 per annum",40000 - 45000 per annum,"Permanent, full-time",Wednesday,April,40000,45000
Junior Data Analyst,5 April,2024-04-05,Smart 10 ltd,Welwyn Garden City,"£25,000 - £27,000 per annum",25000 - 27000 per annum,"Permanent, full-time",Friday,April,25000,27000
Senior Data Analyst,1 April,2024-04-01,Favourite People,Blackburn,"£40,000 per annum",40000 per annum,"Permanent, full-time",Monday,April,40000,0
Senior Data Analyst,18 April,2024-04-18,Sphere Digital Recruitment,London,"€60,000 - €65,000 per annum",60000 - 65000 per annum,"Permanent, full-time",Thursday,April,51600,55900
Alteryx Data Analyst,18 April,2024-04-18,Robert Half,London,£450 - £500 per day,450 - 500 per day,"Contract, full-time",Thursday,April,113400,126000
Product Data Analyst,2 days ago,2024-04-25,Anne Corder Recruitment,Peterborough,"£20,500 - £25,625 per annum",20500 - 25625 per annum,"Permanent, full-time or part-time",Thursday,April,20500,25625
Sales Data Analyst,18 April,2024-04-18,Buchanan Graduates ,Epsom,"£30,000 - £55,000 per annum",30000 - 55000 per annum,"Permanent, full-time",Thursday,April,30000,55000
Senior Data Analyst,22 March,2024-03-22,Adria Solutions Ltd,Manchester,"£50,000 - £65,000 per annum",50000 - 65000 per annum,"Permanent, full-time",Friday,March,50000,65000
Data Analyst Contract,5 April,2024-04-05,In Technology Group Limited,Leeds,£180 - £200 per day,180 - 200 per day,"Contract, full-time",Friday,April,45360,50400
Marketing Data Analyst,3 days ago,2024-04-24,Armstrong Lloyd - Marketing Recruitment,Basingstoke,"£35,000 - £40,000 per annum",35000 - 40000 per annum,"Permanent, full-time",Wednesday,April,35000,40000
Financial Data Analyst,3 April,2024-04-03,Catalyst,Newcastle Upon Tyne,"£41,000 per annum",41000 per annum,"Permanent, full-time",Wednesday,April,41000,0
Senior Data Analyst,5 April,2024-04-05,Profectus Recruitment,Central London,"£40,000 - £60,000 per annum, inc benefits, negotiable",40000 - 60000 per annum inc benefits negotiable,"Permanent, full-time",Friday,April,40000,60000
Marketing Data Analyst,21 March,2024-03-21,Harnham - Data & Analytics Recruitment,London,"£50,000 - £60,000 per annum",50000 - 60000 per annum,"Permanent, full-time",Thursday,March,50000,60000
Senior Data Analyst,2 April,2024-04-02,Harnham - Data & Analytics Recruitment,London,"£40,000 - £50,000 per annum",40000 - 50000 per annum,"Permanent, full-time",Tuesday,April,40000,50000
Product Data Analyst,9 April,2024-04-09,Glen Callum Associates Automotive Ltd,Hemel Hempstead,"£28,000 - £33,000 per annum",28000 - 33000 per annum,"Permanent, full-time",Tuesday,April,28000,33000
Data Analyst - BMS,18 April,2024-04-18,HUNTER MASON CONSULTING LIMITED,Colchester,"£30,000 - £45,000 per annum",30000 - 45000 per annum,"Permanent, full-time",Thursday,April,30000,45000
Warehouse Data Analyst,4 days ago,2024-04-23,Osborne Appointments,Leighton Buzzard,"£32,000 per annum",32000 per annum,"Contract, full-time",Tuesday,April,32000,0
Lead Data Analyst,19 April,2024-04-19,Lorien,London,"£68,000 - £70,000 per annum",68000 - 70000 per annum,"Permanent, full-time",Friday,April,68000,70000
Geospatial Data Analyst,4 days ago,2024-04-23,Harnham - Data & Analytics Recruitment,London,"£55,000 - £70,000 per annum",55000 - 70000 per annum,"Permanent, full-time",Tuesday,April,55000,70000
Trading Data Analyst,12 April,2024-04-12,Robert Walters,Manchester,"£40,000 - £50,000 per annum",40000 - 50000 per annum,"Permanent, full-time",Friday,April,40000,50000
Data Analyst graduate,4 April,2024-04-04,CMD Recruitment,Devizes,"£24,000 - £26,000 per annum",24000 - 26000 per annum,"Permanent, full-time",Thursday,April,24000,26000
Business Data Analyst,10 April,2024-04-10,Proactive Appointments,London,"£55,000 - £60,000 per annum",55000 - 60000 per annum,"Permanent, full-time",Wednesday,April,55000,60000
Senior Data Analyst,2 days ago,2024-04-25,360 Resourcing Solutions,City of London,"£70,000 - £80,000 per annum",70000 - 80000 per annum,"Permanent, full-time",Thursday,April,70000,80000
Senior Data Analyst,11 April,2024-04-11,ADLIB,London,£550 - £650 per day,550 - 650 per day,"Permanent, full-time",Thursday,April,138600,163800
